cluster_id,label,article_count,description,maps_to_conventional
129,Justified Strategic Escalation Against Iranian Aggression,267,"Articles frame US-Israeli military action as a necessary, intelligence-driven response to Iranian aggression, emphasizing preemptive self-defense, infrastructure targeting, and existential threats. Of",
151,Justified Escalation as Proportional Response,153,"Articles frame U.S.-Israel military action as necessary, legitimate, or morally justified, often citing preemptive force, strategic capability, or Iranian aggression. Includes narratives of historical",
135,Iranian Sovereignty Defense Framing,145,"Frames US-Israeli military action as illegal imperialism, emphasizing Iran's sovereign right to self-defense and rejecting civilian harm narratives.",
130,Humanitarian and Legal Critique of Military Action,84,"Focuses on civilian casualties, legal violations, and moral condemnation of military action, positioning the conflict as a humanitarian crisis and challenging the legitimacy of force under internation",
137,Reciprocal Escalation and Regional Instability,69,"Portrays the conflict as a cycle of retaliation, emphasizing casualties, humanitarian impacts, and the absence of diplomatic resolution, often highlighting 'terrorist group' involvement.",
132,Economic and Energy Market Impact Framing,61,"Links military actions to energy price volatility, trade disruptions, and industrial strategy failures, focusing on cascading economic consequences for Europe and global markets.",
134,Critique of US Unilateralism and Emphasis on International Law,59,"Condemns US-Israeli actions as violations of sovereignty, prioritizes multilateral solutions, and highlights the role of China, Russia, or UN mechanisms in conflict resolution.",
138,Geopolitical Power Rebalancing and Proxy Conflict Framing,54,"Analyzes structural shifts in Gulf alliances (e.g., Saudi-UAE) or frames the conflict as a proxy war involving major powers (U.S., China, Russia), with secondary focus on energy security.",
131,Technical-Strategic Analysis of Military Operations,47,"Blends military logistics, nuclear program details, and geopolitical strategy with neutral factual tone, focusing on operational feasibility, technological capabilities, and cost-benefit assessments.",
153,Geopolitical and Economic Contextualization,43,"Articles analyze the conflict through regional stability efforts, energy security, economic impacts, or diplomatic mediation, often contrasting European or Latin American perspectives with U.S.-Israel",
142,Condemnation of US-Israeli Actions with Emphasis on Civilian Harm,41,"Articles frame US-Israeli military action as illegitimate or excessive, emphasize civilian harm, and portray Iran's responses as morally or strategically justified",
144,Economic Disruption and Market Volatility,36,"Articles focus on financial, energy, or trade disruptions caused by the conflict, framing stability as a priority for global actors",
167,China-Centric Domestic Narratives,31,"Articles focus on China’s internal economic strategies, political campaigns, or cultural initiatives, entirely omitting or marginalizing U.S.-Israel-Iran dynamics.",
152,Critique of Destabilization and Strategic Flaws,26,"Articles portray military campaigns as poorly executed, destabilizing, or lacking coherent strategy, emphasizing humanitarian harm, long-term instability, and geopolitical miscalculations.",
159,Economic and Energy Security Framing,24,"Articles link U.S.-Israeli actions to energy market stability, corporate interests, and economic consequences, positioning military action as either a threat to or a safeguard for global energy infras",
143,European Diplomatic and Sovereignty-Centric Opposition,19,"Articles from EU/UK countries frame US-Israeli actions as reckless or illegitimate, prioritize diplomacy, sovereignty, and legal frameworks, and emphasize regional stability",
140,Legal and Constitutional Sovereignty Debates,19,"Articles critique or defend state roles in military infrastructure, legal agreements, or constitutional adherence. Italy and Mexico are focal points for debates about sovereignty and executive overrea",
136,European Cautious Diplomacy and Opposition to Escalation,17,"Articles from EU/UK countries frame US-Israeli actions as reckless or illegitimate, prioritize diplomacy, sovereignty, and legal frameworks, and emphasize regional stability over military solutions.",
165,Country-Specific Nuclear/Defense Narratives,16,"Articles focus on regional nuclear programs (Pakistan) or defense posturing as direct responses to U.S.-Iran tensions, often invoking historical grievances.",
141,Religious and Divine Legitimacy Framing,15,"Portrays conflict as divinely sanctioned or tied to religious solidarity, using sacred rhetoric to justify or condemn violence.",
156,China's Domestic Policy and Development Narratives,15,"Articles focus exclusively on China's internal policies, economic modernization, education reforms, talent recruitment, and cultural initiatives, avoiding external geopolitical topics.",
148,Regional Responses and Non-Aligned Stances,15,"Articles focus on how non-Western or non-Iranian actors (e.g., Brazil, Sri Lanka, Indonesia) navigate the conflict, emphasizing neutrality, humanitarian concerns, or critiques of external intervention",
158,Humanitarian and Diplomatic Critique of Military Action,13,"Articles condemn military actions for humanitarian toll, civilian harm, or destabilization, advocating diplomatic resolution and emphasizing vulnerable populations",
166,Strategic Escalation with Uncertainty,12,Acknowledges strategic escalation but emphasizes lack of coherent planning and external complications,
133,Regional Conflicts and Proxy Warfare Dynamics,10,"Focuses on Israel-Hezbollah dynamics, Lebanese displacement, and Iran's regional influence through proxy forces, positioning Iran as a destabilizing regional aggressor.",
145,Factual Conflict Reporting Without Overt Framing,9,"Articles report technical or material aspects of conflicts (e.g., drone attacks, base disputes) without explicit political or moral evaluation",
154,Logistical and Crisis Management Focus,6,"Articles center on repatriation efforts, travel disruptions, or institutional coordination for citizen safety, avoiding geopolitical analysis in favor of practical crisis response.",
168,Pakistan’s Neutrality and Critique of US Hypocrisy,6,"Defends Pakistan’s neutrality while critiquing U.S. hypocrisy, forming a distinct regional perspective.",
147,Critique of US Unilateralism and Emphasis on International Law (2),6,"Articles condemn US-Israeli actions as violations of sovereignty, prioritize multilateral solutions, and highlight the role of China, Russia, or UN mechanisms",
157,Unrelated Domestic or Corporate Issues,5,"Articles address corporate IP disputes, political branding, redistricting, or cultural initiatives unrelated to the U.S.-Israel-Iran conflict, often reflecting local or industry-specific concerns.",
160,Trump's America First and Maximalist Rhetoric,5,"Articles center Trump's defense of U.S.-Israel actions as reaffirming 'America first' principles, often juxtaposed with critiques of non-interventionism or diplomacy",
171,Routine Military Necessity,5,"Depicts U.S. military deployments (e.g., Okinawa, Philippines) as non-disruptive, routine, or pragmatically necessary for defense industry and foreign relations.",
163,Critique of US-Israel Policies and Internal Dynamics,5,"Articles question the legitimacy of U.S.-Israel actions, highlight covert power networks, economic vulnerabilities, or internal dissent, often elevating alternative narratives (e.g., Armenian victimho",
164,Non-conflict domestic or cultural issues,5,"Focuses on entirely unrelated domestic or cultural topics (AI, sports, etc.) with minimal conflict engagement, diverging from all other clusters.",
