cluster_id,label,article_count,description,maps_to_conventional
36,Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,927,"Articles uniformly depict Russia's invasion as unprovoked, emphasizing Ukraine's sovereignty, and call for sanctions, NATO unity, and international accountability. Often highlights illegality and mora",
37,Russian 'Special Military Operation' Justification,228,"Frames Russia's actions as defensive or stabilizing, citing NATO expansion, protection of Russian-speaking populations, or historical grievances. Dismisses Ukrainian legitimacy and avoids explicit con",
38,Humanitarian Crisis and Moral Responsibility,221,"Focuses on civilian suffering, refugee flows, and institutional coordination (UN, EU). Emphasizes Western moral duty and urgency in addressing the crisis, often juxtaposing Ukrainian and Russian actio",
56,Western/EU-Centric Opposition and Coalition-Building,202,"Focuses on NATO, EU, or U.S. coordination to condemn Russia through sanctions, military support, and institutional unity. Positions Western alliances as the primary counterweight to Russian aggression",
39,Geopolitical and Economic Impact Analysis,168,"Analyzes the invasion through Cold War revival narratives, NATO-Russia dynamics, or economic consequences (sanctions, energy markets). Highlights strategic competition over moral or legal framing.",
51,Western Military and Diplomatic Response,63,"Positions the U.S., NATO, or EU as central defenders of Ukraine, emphasizing sanctions, military aid, collective security, and non-interventionist diplomacy.",
41,Ukrainian Military Resistance and Defensive Operations,52,"Focuses on Ukraine's active military defense, sovereignty, and resistance strategies, emphasizing defensive capabilities and legitimacy of resistance. Includes battlefield reporting and cyber defense.",
50,Russian Strategic Justification and Historical Context,51,"Frames Russia's actions as defensive or historically necessary, citing security concerns, Western provocations, or protection of Donbass populations as justifications.",
45,Unrelated or Disengaged Framing,27,"Articles entirely disengaged from the invasion topic, focusing on corporate news, financial platforms, or unrelated conflicts (e.g., U.S.-Iran, local events).",
42,Economic Isolation and Refugee Support,23,Positions economic sanctions and refugee resettlement as moral and strategic responses to Russian aggression. Links unjustified violence to economic countermeasures and humanitarian aid.,
40,Institutional Critique and Neutral Documentation,21,"Critiques global institutions (UN, OSCE) for inaction or ambiguity, or adopts a neutral stance documenting verified military actions without overt political judgment.",
